id,userContactDetailsId,digestConfigurationId,cronExpression,preferredChannel,useDigest
892aa5ed-e4c8-47ea-a5c3-5f0aef6d04a8,35316636-6264-6331-2d34-3933322d3462,4ec4f5fc-4397-4e98-bddd-2a2267cbe387,0 0/15 * * * *,EMAIL,true
b5ab9d48-d1a8-4585-b51c-0b8a3f853452,35316636-6264-6331-2d34-3933322d3462,148f4acb-1504-41e9-ac71-c29e8599ee70,0 0/5 * * * *,EMAIL,true
471c56ea-1236-46e7-915c-6d094312e26c,35316636-6264-6331-2d34-3933322d3462,91290036-97b4-428c-8299-0ccc76bf3df3,0 0/1 * * * *,EMAIL,true
abba633a-e346-43e7-8e86-2615c49c3a95,35316636-6264-6331-2d34-3933322d3462,407310f8-c44d-400c-93d1-c3ff7dd3a98f,0 0/5 * * * *,EMAIL,true
fccf1253-d8dd-419f-82d8-68eda8be7752,a337ec45-31a0-4f2b-9b2e-a105c4b669bb,4ec4f5fc-4397-4e98-bddd-2a2267cbe387,0 0/5 * * * *,EMAIL,true
70279c6e-9e23-4042-98c3-bfc32f614cc1,a337ec45-31a0-4f2b-9b2e-a105c4b669bb,148f4acb-1504-41e9-ac71-c29e8599ee70,0 0/5 * * * *,EMAIL,true
dbcab1b0-b7b6-4261-a12d-101bd52f463b,a337ec45-31a0-4f2b-9b2e-a105c4b669bb,91290036-97b4-428c-8299-0ccc76bf3df3,0 0/1 * * * *,EMAIL,true
dcbef906-e208-419d-af3f-31b2b89bd2cd,a337ec45-31a0-4f2b-9b2e-a105c4b669bb,407310f8-c44d-400c-93d1-c3ff7dd3a98f,0 0/5 * * * *,EMAIL,true
b312c080-7aa8-4bf4-8ae4-c7ed0625cd5b,56a50e9a-9668-437d-a09c-7e709ce22222,4ec4f5fc-4397-4e98-bddd-2a2267cbe387,0 0/15 * * * *,EMAIL,true
86632014-557b-4765-85e6-ffe6a75d9ebd,56a50e9a-9668-437d-a09c-7e709ce22222,148f4acb-1504-41e9-ac71-c29e8599ee70,0 0/1 * * * *,EMAIL,true
